"","year","age","value","model","value_lower","value_upper"
"231",1964,6,0.010124093868113,"Independent model + age risk",0.00163069262406007,0.0504810957862644
"232",1965,6,0.00555860432828913,"Independent model + age risk",0.000982558659623051,0.0264783579276536
"233",1966,6,0.00533543154109918,"Independent model + age risk",0.000941502306344938,0.0260301765114385
"234",1967,6,0.00811202433215189,"Independent model + age risk",0.00115975722472224,0.0406713604880819
"235",1968,6,0.109898794460707,"Independent model + age risk",0.0385166909642566,0.208477858474601
"236",1969,6,0.204051439847896,"Independent model + age risk",0.120024483674444,0.313849115364822
"237",1970,6,0.0131323232993539,"Independent model + age risk",0.00252311915759218,0.0437676826875335
"238",1971,6,0.0199266051839492,"Independent model + age risk",0.00425763842136808,0.055013977309746
"239",1972,6,0.00596328982700618,"Independent model + age risk",0.000837823116142211,0.0274628432524796
"240",1973,6,0.00421443224644422,"Independent model + age risk",0.000686270471148857,0.025414595071079
"241",1958,7,NA,"Independent model + age risk",NA,NA
"242",1959,7,NA,"Independent model + age risk",NA,NA
"243",1960,7,NA,"Independent model + age risk",NA,NA
"244",1961,7,NA,"Independent model + age risk",NA,NA
"245",1962,7,NA,"Independent model + age risk",NA,NA
"246",1963,7,NA,"Independent model + age risk",NA,NA
"247",1964,7,0.0101216181731888,"Independent model + age risk",0.00154437838480668,0.0504540063760927
"248",1965,7,0.00536087978205175,"Independent model + age risk",0.000940972626444306,0.0260728412948152
"249",1966,7,0.00512171262938975,"Independent model + age risk",0.000916842985898992,0.0251391315526902
"250",1967,7,0.00739286245518026,"Independent model + age risk",0.00100449955086716,0.0367336923116713
"251",1968,7,0.107054931111274,"Independent model + age risk",0.0374302307773124,0.207324445490018
"252",1969,7,0.201453566326178,"Independent model + age risk",0.114067991992142,0.316476697820366
"253",1970,7,0.0130545602934959,"Independent model + age risk",0.00254575903426817,0.0440139860151409
"254",1971,7,0.0199204042547467,"Independent model + age risk",0.00417443411521684,0.05588488893287
"255",1972,7,0.0058935286229103,"Independent model + age risk",0.000825984298043674,0.027584611662426
"256",1973,7,0.00416418341585124,"Independent model + age risk",0.000686046808207404,0.0248452407635123
"257",1958,8,NA,"Independent model + age risk",NA,NA
"258",1959,8,NA,"Independent model + age risk",NA,NA
"259",1960,8,NA,"Independent model + age risk",NA,NA
"260",1961,8,NA,"Independent model + age risk",NA,NA
"261",1962,8,NA,"Independent model + age risk",NA,NA
"262",1963,8,NA,"Independent model + age risk",NA,NA
"263",1964,8,NA,"Independent model + age risk",NA,NA
"264",1965,8,0.00537843955745292,"Independent model + age risk",0.000878659828984262,0.0265572859283324
"265",1966,8,0.00505364310805121,"Independent model + age risk",0.000893195839962162,0.0248916317100305
"266",1967,8,0.00708432815514889,"Independent model + age risk",0.000975260846155537,0.03694154647896
"267",1968,8,0.0966705586660202,"Independent model + age risk",0.0348042763730462,0.189196114527559
"268",1969,8,0.195836072704557,"Independent model + age risk",0.108024974912091,0.311807188003681
"269",1970,8,0.013011122057312,"Independent model + age risk",0.00248822402646303,0.0438532261400472
"270",1971,8,0.0197835036775664,"Independent model + age risk",0.00399788363401029,0.0550727571648078
"271",1972,8,0.00579436367091208,"Independent model + age risk",0.000819552599068056,0.0284005663871012
"272",1973,8,0.00417591472579974,"Independent model + age risk",0.000679455757609944,0.0248711339221477
"273",1958,9,NA,"Independent model + age risk",NA,NA
"274",1959,9,NA,"Independent model + age risk",NA,NA
"275",1960,9,NA,"Independent model + age risk",NA,NA
"276",1961,9,NA,"Independent model + age risk",NA,NA
"277",1962,9,NA,"Independent model + age risk",NA,NA
"278",1963,9,NA,"Independent model + age risk",NA,NA
"279",1964,9,NA,"Independent model + age risk",NA,NA
"280",1965,9,NA,"Independent model + age risk",NA,NA
"281",1966,9,0.00499454212876517,"Independent model + age risk",0.000841844901975195,0.0245868887653337
"282",1967,9,0.00694823231539981,"Independent model + age risk",0.000895416474160906,0.0375310644923799
"283",1968,9,0.0927546482430679,"Independent model + age risk",0.0333284456811388,0.189050878513271
"284",1969,9,0.176983801763275,"Independent model + age risk",0.096118996012202,0.285098660886931
"285",1970,9,0.0123600340889805,"Independent model + age risk",0.00238599505704531,0.0426204006134848
"286",1971,9,0.0195626710324569,"Independent model + age risk",0.00375299742850788,0.0546565761834455
"287",1972,9,0.00577292469416637,"Independent model + age risk",0.000795065886660012,0.0285523321810634
"288",1973,9,0.00413140946552367,"Independent model + age risk",0.000686655963315237,0.0248455860705672
"289",1958,1,0.0111098631605422,"Independent model + rho",0.00129627931763348,0.0816712091873603
"290",1959,1,0.0116594923460249,"Independent model + rho",0.00142984743117844,0.0983653970287933
"291",1960,1,0.0174745519318562,"Independent model + rho",0.00176337228674043,0.228108897808389
"292",1961,1,0.118671635414843,"Independent model + rho",0.00339099765637138,0.341288675060385
"293",1962,1,0.0286208856767624,"Independent model + rho",0.00220338342283644,0.198761489858314
"294",1963,1,0.0130749224234856,"Independent model + rho",0.00174354978534849,0.074444130774861
"295",1964,1,0.0152857827239407,"Independent model + rho",0.00206595888530409,0.0660955859412296
"296",1965,1,0.00754215808691522,"Independent model + rho",0.00124205610853274,0.0318790968690539
