"","year","age","value","model","value_lower","value_upper"
"39",1964,3,0.00037697556455529,"Two-outbreak model",8.35498748922762e-08,0.0328099519088251
"40",1965,3,3.25034514123313e-05,"Two-outbreak model",1.4139025352451e-08,0.0024978957652351
"41",1966,3,6.30360865569661e-07,"Two-outbreak model",6.61289697553161e-08,0.0278154163063475
"42",1967,3,0.000230460501005865,"Two-outbreak model",4.4165633359694e-05,0.114737617555959
"43",1968,3,0.0173606564258163,"Two-outbreak model",0.00604014730685701,0.124879698621514
"44",1969,3,0.13740881618974,"Two-outbreak model",0.0506256560032328,0.196929558749194
"45",1970,3,0.179868544944511,"Two-outbreak model",0.109394991510724,0.228507765173655
"46",1971,3,0.0376503965481959,"Two-outbreak model",0.0187880734168768,0.0682345371042556
"47",1972,3,0.00137907875857202,"Two-outbreak model",0.00043205346694509,0.00455438108935578
"48",1973,3,7.66386135719119e-06,"Two-outbreak model",1.34821337584926e-06,5.03077067162776e-05
"49",1958,4,NA,"Two-outbreak model",NA,NA
"50",1959,4,NA,"Two-outbreak model",NA,NA
"51",1960,4,NA,"Two-outbreak model",NA,NA
"52",1961,4,0.0317204361027739,"Two-outbreak model",0,0.142347302048373
"53",1962,4,0.0801192791305324,"Two-outbreak model",3.33066907387547e-16,0.135609178262977
"54",1963,4,0.0151717672937436,"Two-outbreak model",1.5396653396671e-11,0.104393228910269
"55",1964,4,0.000343063563238028,"Two-outbreak model",8.35498748922762e-08,0.0327360517828345
"56",1965,4,2.89638269184532e-05,"Two-outbreak model",1.3468347008232e-08,0.00243625335939912
"57",1966,4,6.13416360002921e-07,"Two-outbreak model",6.52894837828173e-08,0.0278154162572637
"58",1967,4,0.000229155518858368,"Two-outbreak model",4.41274028135311e-05,0.114737506079686
"59",1968,4,0.017360533269249,"Two-outbreak model",0.00604010708784493,0.124870917787173
"60",1969,4,0.13739478108501,"Two-outbreak model",0.049858570478978,0.196929337208631
"61",1970,4,0.179823011841706,"Two-outbreak model",0.0990274958611128,0.228495347205218
"62",1971,4,0.0358325909215562,"Two-outbreak model",0.0181608989130037,0.0637716705712255
"63",1972,4,0.00118728144101417,"Two-outbreak model",0.000347597343920164,0.00418570777991087
"64",1973,4,6.03791505497088e-06,"Two-outbreak model",1.08107022396065e-06,4.08307895394581e-05
"65",1958,5,NA,"Two-outbreak model",NA,NA
"66",1959,5,NA,"Two-outbreak model",NA,NA
"67",1960,5,NA,"Two-outbreak model",NA,NA
"68",1961,5,NA,"Two-outbreak model",NA,NA
"69",1962,5,0.0801190795066025,"Two-outbreak model",3.33066907387547e-16,0.135609177399661
"70",1963,5,0.0151693107483737,"Two-outbreak model",1.5396653396671e-11,0.104393225877964
"71",1964,5,0.000340054697200955,"Two-outbreak model",8.35498748922762e-08,0.0327355291463872
"72",1965,5,2.83878991772089e-05,"Two-outbreak model",1.17713323605783e-08,0.00243393854513218
"73",1966,5,5.52086938366866e-07,"Two-outbreak model",5.74738214273032e-08,0.0278154162572602
"74",1967,5,0.000220297460152205,"Two-outbreak model",4.11018812953272e-05,0.114737506039145
"75",1968,5,0.0173368213750083,"Two-outbreak model",0.00603291737801779,0.124870905101473
